date,30_year_mortgage_rate
2008-03,6.03
2008-04,5.88
2008-05,6.06
2008-06,6.09
2008-07,6.35
2008-08,6.52
2008-09,6.35
2008-10,6.10
2008-11,6.20
2008-12,5.53
2009-01,5.01
2009-02,5.25
2009-03,5.15
2009-04,4.78
2009-05,4.84
2009-06,5.29
2009-07,5.32
2009-08,5.22
2009-09,5.08
2009-10,4.94
2009-11,4.98
2009-12,4.71
2010-01,5.09
2010-02,5.01
2010-03,4.97
2010-04,5.08
2010-05,5.00
2010-06,4.79
2010-07,4.58
2010-08,4.49
2010-09,4.32
2010-10,4.27
2010-11,4.24
2010-12,4.46
2011-01,4.77
2011-02,4.81
2011-03,4.87
2011-04,4.87
2011-05,4.71
2011-06,4.55
2011-07,4.60
2011-08,4.39
2011-09,4.22
2011-10,3.94
2011-11,4.00
2011-12,4.00
2012-01,3.91
2012-02,3.87
2012-03,3.90
2012-04,3.98
2012-05,3.84
2012-06,3.67
2012-07,3.62
2012-08,3.55
2012-09,3.55
2012-10,3.36
2012-11,3.39
2012-12,3.34
2013-01,3.34
2013-02,3.53
2013-03,3.52
2013-04,3.54
2013-05,3.35
2013-06,3.91
2013-07,4.29
2013-08,4.39
2013-09,4.57
2013-10,4.22
2013-11,4.16
2013-12,4.46
2014-01,4.53
2014-02,4.23
2014-03,4.28
2014-04,4.41
2014-05,4.29
2014-06,4.14
2014-07,4.12
2014-08,4.14
2014-09,4.10
2014-10,4.19
2014-11,4.02
2014-12,3.89
2015-01,3.73
2015-02,3.59
2015-03,3.75
2015-04,3.70
2015-05,3.80
2015-06,3.87
2015-07,4.08
2015-08,3.91
2015-09,3.89
2015-10,3.85
2015-11,3.87
2015-12,3.93
2016-01,3.97
2016-02,3.72
2016-03,3.64
2016-04,3.59
2016-05,3.61
2016-06,3.66
2016-07,3.41
2016-08,3.43
2016-09,3.46
2016-10,3.42
2016-11,3.54
2016-12,4.08
2017-01,4.20
2017-02,4.19
2017-03,4.10
2017-04,4.10
2017-05,4.02
2017-06,3.94
2017-07,3.96
2017-08,3.93
2017-09,3.78
2017-10,3.85
2017-11,3.94
2017-12,3.94
2018-01,3.95
2018-02,4.22
2018-03,4.43
2018-04,4.40
2018-05,4.55
2018-06,4.54
2018-07,4.52
2018-08,4.60
2018-09,4.54
2018-10,4.71
2018-11,4.83
2018-12,4.75
2019-01,4.51
2019-02,4.41
2019-03,4.41
2019-04,4.08
2019-05,4.14
2019-06,3.82
2019-07,3.75
2019-08,3.75
2019-09,3.49
2019-10,3.65
2019-11,3.69
2019-12,3.68
2020-01,3.72
2020-02,3.45
2020-03,3.29
2020-04,3.33
2020-05,3.26
2020-06,3.18
2020-07,3.07
2020-08,2.88
2020-09,2.93
2020-10,2.88
2020-11,2.78
2020-12,2.71
2021-01,2.65
2021-02,2.73
2021-03,3.02
2021-04,3.18
2021-05,2.96
2021-06,2.99
2021-07,2.98
2021-08,2.77
2021-09,2.87
2021-10,2.99
2021-11,3.09
2021-12,3.11
2022-01,3.22
2022-02,3.55
2022-03,3.76
2022-04,4.72
2022-05,5.27
2022-06,5.09
2022-07,5.30
2022-08,4.99
2022-09,5.66
2022-10,6.66
2022-11,6.95
2022-12,6.49
2023-01,6.48
2023-02,6.09
2023-03,6.65
2023-04,6.28
2023-05,6.39
2023-06,6.79
2023-07,6.81
2023-08,6.90
2023-09,7.12
2023-10,7.49
2023-11,7.76
2023-12,7.03
2024-01,6.62
2024-02,6.63
2024-03,6.88
2024-04,6.82
2024-05,7.22
2024-06,6.99
2024-07,6.95
2024-08,6.73
2024-09,6.35
2024-10,6.12
2024-11,6.79
2024-12,6.69
