date,30_year_mortgage_rate
1908-07,5.48
1908-08,5.45
1908-09,5.43
1908-10,5.41
1908-11,5.39
1908-12,5.37
1909-01,5.35
1909-02,5.35
1909-03,5.35
1909-04,5.35
1909-05,5.35
1909-06,5.35
1909-07,5.35
1909-08,5.35
1909-09,5.35
1909-10,5.35
1909-11,5.35
1909-12,5.35
1910-01,5.35
1910-02,5.36
1910-03,5.37
1910-04,5.38
1910-05,5.39
1910-06,5.40
1910-07,5.41
1910-08,5.42
1910-09,5.43
1910-10,5.44
1910-11,5.45
1910-12,5.46
1911-01,5.47
1911-02,5.47
1911-03,5.47
1911-04,5.47
1911-05,5.47
1911-06,5.47
1911-07,5.47
1911-08,5.46
1911-09,5.46
1911-10,5.46
1911-11,5.46
1911-12,5.46
1912-01,5.46
1912-02,5.46
1912-03,5.47
1912-04,5.47
1912-05,5.47
1912-06,5.48
1912-07,5.48
1912-08,5.48
1912-09,5.49
1912-10,5.49
1912-11,5.49
1912-12,5.50
1913-01,5.50
1913-02,5.51
1913-03,5.51
1913-04,5.52
1913-05,5.53
1913-06,5.53
1913-07,5.54
1913-08,5.55
1913-09,5.55
1913-10,5.56
1913-11,5.57
1913-12,5.57
1914-01,5.58
1914-02,5.58
1914-03,5.58
1914-04,5.59
1914-05,5.59
1914-06,5.59
1914-07,5.59
1914-08,5.59
1914-09,5.59
1914-10,5.60
1914-11,5.60
1914-12,5.60
1915-01,5.60
1915-02,5.59
1915-03,5.58
1915-04,5.58
1915-05,5.57
1915-06,5.56
1915-07,5.55
1915-08,5.54
1915-09,5.53
1915-10,5.53
1915-11,5.52
1915-12,5.51
1916-01,5.50
1916-02,5.50
1916-03,5.50
1916-04,5.49
1916-05,5.49
1916-06,5.49
1916-07,5.49
1916-08,5.48
1916-09,5.48
1916-10,5.48
1916-11,5.48
1916-12,5.47
1917-01,5.47
1917-02,5.48
1917-03,5.48
1917-04,5.49
1917-05,5.50
1917-06,5.50
1917-07,5.51
1917-08,5.52
1917-09,5.52
1917-10,5.53
1917-11,5.54
1917-12,5.54
1918-01,5.55
1918-02,5.56
1918-03,5.57
1918-04,5.58
1918-05,5.58
1918-06,5.59
1918-07,5.60
1918-08,5.61
1918-09,5.62
1918-10,5.63
1918-11,5.63
1918-12,5.64
1919-01,5.65
1919-02,5.66
1919-03,5.67
1919-04,5.68
1919-05,5.68
1919-06,5.69
1919-07,5.70
1919-08,5.71
1919-09,5.72
1919-10,5.73
1919-11,5.73
1919-12,5.74
1920-01,5.75
1920-02,5.77
1920-03,5.79
1920-04,5.81
1920-05,5.82
1920-06,5.84
1920-07,5.86
1920-08,5.88
1920-09,5.90
1920-10,5.92
1920-11,5.93
1920-12,5.95
1921-01,5.97
1921-02,5.97
1921-03,5.97
1921-04,5.97
1921-05,5.96
1921-06,5.96
1921-07,5.96
1921-08,5.96
1921-09,5.96
1921-10,5.96
1921-11,5.95
1921-12,5.95
1922-01,5.95
1922-02,5.95
1922-03,5.94
1922-04,5.94
1922-05,5.94
1922-06,5.93
1922-07,5.93
1922-08,5.93
1922-09,5.92
1922-10,5.92
1922-11,5.92
1922-12,5.91
1923-01,5.91
1923-02,5.91
1923-03,5.91
1923-04,5.91
1923-05,5.91
1923-06,5.91
1923-07,5.92
1923-08,5.92
1923-09,5.92
1923-10,5.92
1923-11,5.92
1923-12,5.92
1924-01,5.92
1924-02,5.92
1924-03,5.92
1924-04,5.92
1924-05,5.91
1924-06,5.91
1924-07,5.91
1924-08,5.91
1924-09,5.91
1924-10,5.91
1924-11,5.90
1924-12,5.90
1925-01,5.90
1925-02,5.90
1925-03,5.90
1925-04,5.90
1925-05,5.90
1925-06,5.90
1925-07,5.90
1925-08,5.89
1925-09,5.89
1925-10,5.89
1925-11,5.89
1925-12,5.89
1926-01,5.89
1926-02,5.89
1926-03,5.89
1926-04,5.89
1926-05,5.89
1926-06,5.89
1926-07,5.89
1926-08,5.88
1926-09,5.88
1926-10,5.88
1926-11,5.88
1926-12,5.88
1927-01,5.88
1927-02,5.88
1927-03,5.88
1927-04,5.87
1927-05,5.87
1927-06,5.87
1927-07,5.87
1927-08,5.86
1927-09,5.86
1927-10,5.86
1927-11,5.86
1927-12,5.85
1928-01,5.85
1928-02,5.86
1928-03,5.86
1928-04,5.87
1928-05,5.87
1928-06,5.88
1928-07,5.89
1928-08,5.89
1928-09,5.90
1928-10,5.90
1928-11,5.91
1928-12,5.91
1929-01,5.92
1929-02,5.92
1929-03,5.93
1929-04,5.93
1929-05,5.93
1929-06,5.93
1929-07,5.94
1929-08,5.94
1929-09,5.94
1929-10,5.94
1929-11,5.95
1929-12,5.95
1930-01,5.95
1930-02,5.93
1930-03,5.92
1930-04,5.90
1930-05,5.88
1930-06,5.87
1930-07,5.85
1930-08,5.83
1930-09,5.82
1930-10,5.80
1930-11,5.78
1930-12,5.77
1931-01,5.75
1931-02,5.75
1931-03,5.75
1931-04,5.76
1931-05,5.76
1931-06,5.76
1931-07,5.76
1931-08,5.76
1931-09,5.76
1931-10,5.77
1931-11,5.77
1931-12,5.77
1932-01,5.77
1932-02,5.76
1932-03,5.74
1932-04,5.73
1932-05,5.71
1932-06,5.70
1932-07,5.69
1932-08,5.67
1932-09,5.66
1932-10,5.64
1932-11,5.63
1932-12,5.61
1933-01,5.60
1933-02,5.59
1933-03,5.58
1933-04,5.56
1933-05,5.55
1933-06,5.54
1933-07,5.53
1933-08,5.51
1933-09,5.50
1933-10,5.49
1933-11,5.48
1933-12,5.46
1934-01,5.45
1934-02,5.43
1934-03,5.42
1934-04,5.40
1934-05,5.39
1934-06,5.37
1934-07,5.36
1934-08,5.34
1934-09,5.32
1934-10,5.31
1934-11,5.29
1934-12,5.28
1935-01,5.26
1935-02,5.25
1935-03,5.23
1935-04,5.22
1935-05,5.20
1935-06,5.19
1935-07,5.18
1935-08,5.16
1935-09,5.15
1935-10,5.13
1935-11,5.12
1935-12,5.10
1936-01,5.09
1936-02,5.09
1936-03,5.09
1936-04,5.10
1936-05,5.10
1936-06,5.10
1936-07,5.10
1936-08,5.10
1936-09,5.10
1936-10,5.11
1936-11,5.11
1936-12,5.11
1937-01,5.11
1937-02,5.10
1937-03,5.09
1937-04,5.08
1937-05,5.07
1937-06,5.06
1937-07,5.06
1937-08,5.05
1937-09,5.04
1937-10,5.03
1937-11,5.02
1937-12,5.01
1938-01,5.00
1938-02,5.00
1938-03,5.01
1938-04,5.01
1938-05,5.02
1938-06,5.02
1938-07,5.03
1938-08,5.03
1938-09,5.03
1938-10,5.04
1938-11,5.04
1938-12,5.05
1939-01,5.05
1939-02,5.05
1939-03,5.05
1939-04,5.05
1939-05,5.04
1939-06,5.04
1939-07,5.04
1939-08,5.04
1939-09,5.04
1939-10,5.04
1939-11,5.03
1939-12,5.03
1940-01,5.03
1940-02,5.02
1940-03,5.01
1940-04,5.00
1940-05,4.99
1940-06,4.98
1940-07,4.97
1940-08,4.95
1940-09,4.94
1940-10,4.93
1940-11,4.92
1940-12,4.91
1941-01,4.90
1941-02,4.91
1941-03,4.91
1941-04,4.92
1941-05,4.93
1941-06,4.93
1941-07,4.94
1941-08,4.95
1941-09,4.95
1941-10,4.96
1941-11,4.97
1941-12,4.97
1942-01,4.98
1942-02,4.96
1942-03,4.95
1942-04,4.93
1942-05,4.91
1942-06,4.89
1942-07,4.88
1942-08,4.86
1942-09,4.84
1942-10,4.82
1942-11,4.81
1942-12,4.79
1943-01,4.77
1943-02,4.77
1943-03,4.76
1943-04,4.76
1943-05,4.75
1943-06,4.75
1943-07,4.74
1943-08,4.74
1943-09,4.73
1943-10,4.73
1943-11,4.72
1943-12,4.72
1944-01,4.71
1944-02,4.71
1944-03,4.71
1944-04,4.71
1944-05,4.71
1944-06,4.71
1944-07,4.71
1944-08,4.70
1944-09,4.70
1944-10,4.70
1944-11,4.70
1944-12,4.70
1945-01,4.70
1945-02,4.70
1945-03,4.71
1945-04,4.71
1945-05,4.71
1945-06,4.72
1945-07,4.72
1945-08,4.72
1945-09,4.73
1945-10,4.73
1945-11,4.73
1945-12,4.74
1946-01,4.74
1946-02,4.75
1946-03,4.75
1946-04,4.76
1946-05,4.76
1946-06,4.77
1946-07,4.77
1946-08,4.78
1946-09,4.78
1946-10,4.79
1946-11,4.79
1946-12,4.80
1947-01,4.80
1947-02,4.81
1947-03,4.82
1947-04,4.83
1947-05,4.84
1947-06,4.85
1947-07,4.86
1947-08,4.86
1947-09,4.87
1947-10,4.88
1947-11,4.89
1947-12,4.90
1948-01,4.91
1948-02,4.86
1948-03,4.82
1948-04,4.77
1948-05,4.72
1948-06,4.68
1948-07,4.63
1948-08,4.58
1948-09,4.54
1948-10,4.49
1948-11,4.44
1948-12,4.40
1949-01,4.35
1949-02,4.35
1949-03,4.35
1949-04,4.35
1949-05,4.34
1949-06,4.35
1949-07,4.34
1949-08,4.34
1949-09,4.32
1949-10,4.32
1949-11,4.32
1949-12,4.32
1950-01,4.31
1950-02,4.31
1950-03,4.30
1950-04,4.23
1950-05,4.16
1950-06,4.09
1950-07,4.08
1950-08,4.08
1950-09,4.08
1950-10,4.08
1950-11,4.08
1950-12,4.08
1951-01,4.08
1951-02,4.08
1951-03,4.12
1951-04,4.19
1951-05,4.27
1951-06,4.29
1951-07,4.31
1951-08,4.31
1951-09,4.30
1951-10,4.27
1951-11,4.27
1951-12,4.26
1952-01,4.26
1952-02,4.27
1952-03,4.29
1952-04,4.29
1952-05,4.29
1952-06,4.30
1952-07,4.30
1952-08,4.30
1952-09,4.30
1952-10,4.31
1952-11,4.32
1952-12,4.32
1953-01,4.34
1953-02,4.34
1953-03,4.34
1953-04,4.45
1953-05,4.56
1953-06,4.67
1953-07,4.74
1953-08,4.82
1953-09,4.86
1953-10,4.82
1953-11,4.81
1953-12,4.78
1954-01,4.75
1954-02,4.69
1954-03,4.64
1954-04,4.62
1954-05,4.59
1954-06,4.57
1954-07,4.56
1954-08,4.56
1954-09,4.56
1954-10,4.56
1954-11,4.56
1954-12,4.56
1955-01,4.56
1955-02,4.56
1955-03,4.59
1955-04,4.60
1955-05,4.63
1955-06,4.63
1955-07,4.64
1955-08,4.67
1955-09,4.70
1955-10,4.73
1955-11,4.75
1955-12,4.73
1956-01,4.73
1956-02,4.70
1956-03,4.68
1956-04,4.71
1956-05,4.78
1956-06,4.81
1956-07,4.81
1956-08,4.87
1956-09,4.92
1956-10,4.95
1956-11,5.05
1956-12,5.15
1957-01,5.25
1957-02,5.36
1957-03,5.35
1957-04,5.35
1957-05,5.32
1957-06,5.35
1957-07,5.38
1957-08,5.46
1957-09,5.54
1957-10,5.63
1957-11,5.63
1957-12,5.61
1958-01,5.58
1958-02,5.56
1958-03,5.51
1958-04,5.43
1958-05,5.39
1958-06,5.37
1958-07,5.35
1958-08,5.37
1958-09,5.50
1958-10,5.57
