date,home_price_index,building_cost_index,population_millions
1900-07,3.44703767,104.5685701,76.8390
1900-08,3.39674419,104.6731428,76.9632
1900-09,3.34645071,104.7777154,77.0873
1900-10,3.29615723,104.882288,77.2115
1900-11,3.24586375,104.9868606,77.3357
1900-12,3.19557027,105.0914332,77.4598
1901-01,3.14527679,105.1960058,77.5840
1901-02,3.19218513,105.2834427,77.7156
1901-03,3.23909348,105.3708795,77.8472
1901-04,3.28600182,105.4583164,77.9788
1901-05,3.33291016,105.5457533,78.1103
1901-06,3.37981850,105.6331902,78.2419
1901-07,3.42672684,105.7206271,78.3735
1901-08,3.47363518,105.8080639,78.5051
1901-09,3.52054352,105.8955008,78.6367
1901-10,3.56745186,105.9829377,78.7683
1901-11,3.61436020,106.0703746,78.8998
1901-12,3.66126854,106.1578115,79.0314
1902-01,3.70817688,106.2452483,79.1630
1902-02,3.71301279,105.7587745,79.2854
1902-03,3.71784871,105.2723007,79.4078
1902-04,3.72268462,104.7858268,79.5303
1902-05,3.72752053,104.299353,79.6527
1902-06,3.73235644,103.8128791,79.7751
1902-07,3.73719235,103.3264053,79.8975
1902-08,3.74202826,102.8399315,80.0199
1902-09,3.74686417,102.3534576,80.1423
1902-10,3.75170009,101.8669838,80.2648
1902-11,3.75653600,101.3805099,80.3872
1902-12,3.76137191,100.8940361,80.5096
1903-01,3.76620782,100.4075622,80.6320
1903-02,3.78071555,100.6904953,80.7598
1903-03,3.79522329,100.9734284,80.8877
1903-04,3.80973102,101.2563615,81.0155
1903-05,3.82423876,101.5392945,81.1433
1903-06,3.83874649,101.8222276,81.2712
1903-07,3.85325423,102.1051607,81.3990
1903-08,3.86776196,102.3880937,81.5268
1903-09,3.88226969,102.6710268,81.6547
1903-10,3.89677743,102.9539599,81.7825
1903-11,3.91128516,103.2368929,81.9103
1903-12,3.92579290,103.519826,82.0382
1904-01,3.94030063,103.8027591,82.1660
1904-02,3.89967898,104.0063377,82.3040
1904-03,3.85905732,104.2099163,82.4420
1904-04,3.81843566,104.4134949,82.5800
1904-05,3.77781401,104.6170736,82.7180
1904-06,3.73719235,104.8206522,82.8560
1904-07,3.69657070,105.0242308,82.9940
1904-08,3.65594904,105.2278094,83.1320
1904-09,3.61532738,105.4313881,83.2700
1904-10,3.57470573,105.6349667,83.4080
1904-11,3.53408407,105.8385453,83.5460
1904-12,3.49346242,106.0421239,83.6840
1905-01,3.45284076,106.2457026,83.8220
1905-02,3.50651938,107.1211353,83.9577
1905-03,3.56019799,107.9965681,84.0933
1905-04,3.61387661,108.8720008,84.2290
1905-05,3.66755523,109.7474336,84.3647
1905-06,3.72123384,110.6228663,84.5003
1905-07,3.77491246,111.4982991,84.6360
1905-08,3.82859108,112.3737318,84.7717
1905-09,3.88226969,113.2491646,84.9073
1905-10,3.93594831,114.1245973,85.0430
1905-11,3.98962693,115.0000301,85.1787
1905-12,4.04330555,115.8754629,85.3143
1906-01,4.09698416,116.7508956,85.4500
1906-02,4.13228632,116.7513245,85.5798
1906-03,4.16758847,116.7517534,85.7097
1906-04,4.20289062,116.7521822,85.8395
1906-05,4.23819278,116.7526111,85.9693
1906-06,4.27349493,116.75304,86.0992
1906-07,4.30879708,116.7534689,86.2290
1906-08,4.34409924,116.7538977,86.3588
1906-09,4.37940139,116.7543266,86.4887
1906-10,4.41470354,116.7547555,86.6185
1906-11,4.45000570,116.7551844,86.7483
1906-12,4.48530785,116.7556133,86.8782
1907-01,4.52061000,116.7560421,87.0080
1907-02,4.48385708,116.6584927,87.1498
1907-03,4.44710415,116.5609434,87.2917
1907-04,4.41035122,116.463394,87.4335
1907-05,4.37359830,116.3658446,87.5753
1907-06,4.33684537,116.2682952,87.7172
1907-07,4.30009244,116.1707458,87.8590
1907-08,4.26333952,116.0731965,88.0008
1907-09,4.22658659,115.9756471,88.1427
1907-10,4.18983366,115.8780977,88.2845
1907-11,4.15308073,115.7805483,88.4263
1907-12,4.11632781,115.6829989,88.5682
1908-01,4.07957488,115.5854496,88.7100
1908-02,4.07183742,114.7012769,88.8583
1908-03,4.06409996,113.8171042,89.0067
1908-04,4.05636251,112.9329315,89.1550
1908-05,4.04862505,112.0487588,89.3033
1908-06,4.04088759,111.1645861,89.4517
1908-07,4.03315013,110.2804134,89.6000
1908-08,4.02541267,109.3962407,89.7483
1908-09,4.01767521,108.512068,89.8967
1908-10,4.00993776,107.6278953,90.0450
1908-11,4.00220030,106.7437226,90.1933
1908-12,3.99446284,105.8595499,90.3417
1909-01,3.98672538,104.9753772,90.4900
1909-02,4.01332289,104.5686373,90.6498
1909-03,4.03992041,104.1618975,90.8095
1909-04,4.06651792,103.7551577,90.9693
1909-05,4.09311543,103.3484178,91.1290
1909-06,4.11971295,102.941678,91.2888
1909-07,4.14631046,102.5349381,91.4485
1909-08,4.17290797,102.1281983,91.6083
1909-09,4.19950548,101.7214584,91.7680
1909-10,4.22610300,101.3147186,91.9278
1909-11,4.25270051,100.9079788,92.0875
1909-12,4.27929802,100.5012389,92.2473
1910-01,4.30589554,100.0944991,92.4070
1910-02,4.29767449,100.4170204,92.5283
1910-03,4.28945344,100.7395417,92.6497
1910-04,4.28123239,101.062063,92.7710
1910-05,4.27301134,101.3845843,92.8923
1910-06,4.26479029,101.7071056,93.0137
1910-07,4.25656924,102.0296269,93.1350
1910-08,4.24834819,102.3521482,93.2563
1910-09,4.24012714,102.6746694,93.3777
1910-10,4.23190609,102.9971907,93.4990
1910-11,4.22368504,103.319712,93.6203
1910-12,4.21546399,103.6422333,93.7417
1911-01,4.20724294,103.9647546,93.8630
1911-02,4.22078349,103.8666871,93.9857
1911-03,4.23432405,103.7686196,94.1083
1911-04,4.24786460,103.670552,94.2310
1911-05,4.26140515,103.5724845,94.3537
1911-06,4.27494570,103.4744169,94.4763
1911-07,4.28848625,103.3763494,94.5990
1911-08,4.30202681,103.2782818,94.7217
1911-09,4.31556736,103.1802143,94.8443
1911-10,4.32910791,103.0821468,94.9670
1911-11,4.34264846,102.9840792,95.0897
1911-12,4.35618901,102.8860117,95.2123
1912-01,4.36972957,102.7879441,95.3350
1912-02,4.36972957,102.995415,95.4925
1912-03,4.36972957,103.2028859,95.6500
1912-04,4.36972957,103.4103568,95.8075
1912-05,4.36972957,103.6178277,95.9650
1912-06,4.36972957,103.8252986,96.1225
1912-07,4.36972957,104.0327695,96.2800
1912-08,4.36972957,104.2402404,96.4375
1912-09,4.36972957,104.4477113,96.5950
1912-10,4.36972957,104.6551822,96.7525
1912-11,4.36972957,104.8626531,96.9100
1912-12,4.36972957,105.070124,97.0675
1913-01,4.36972957,105.2775949,97.2250
1913-02,4.38327012,104.1563885,97.3822
1913-03,4.39681067,103.0351821,97.5393
1913-04,4.41035122,101.9139758,97.6965
1913-05,4.42389177,100.7927694,97.8537
1913-06,4.43743233,99.67156298,98.0108
1913-07,4.45097288,98.55035659,98.1680
1913-08,4.46451343,97.42915021,98.3252
1913-09,4.47805398,96.30794382,98.4823
1913-10,4.49159453,95.18673744,98.6395
1913-11,4.50513509,94.06553105,98.7967
1913-12,4.51867564,92.94432467,98.9538
1914-01,4.53221619,91.82311828,99.1110
1914-02,4.50126636,92.08785842,99.2306
1914-03,4.47031652,92.35259857,99.3502
1914-04,4.43936669,92.61733871,99.4698
1914-05,4.40841686,92.88207885,99.5893
1914-06,4.37746703,93.146819,99.7089
1914-07,4.34651719,93.41155914,99.8285
1914-08,4.31556736,93.67629928,99.9481
1914-09,4.28461753,93.94103943,100.0677
1914-10,4.25366769,94.20577957,100.1873
1914-11,4.22271786,94.47051971,100.3068
1914-12,4.19176803,94.73525986,100.4264
1915-01,4.16081819,95.0000,100.5460
1915-02,4.19370239,98.0000,100.6639
1915-03,4.22658659,101.0000,100.7818
1915-04,4.25947079,104.0000,100.8998
1915-05,4.29235498,107.0000,101.0177
1915-06,4.32523918,110.0000,101.1356
1915-07,4.35812338,113.0000,101.2535
1915-08,4.39100758,116.0000,101.3714
1915-09,4.42389177,119.0000,101.4893
1915-10,4.45677597,122.0000,101.6073
1915-11,4.48966017,125.0000,101.7252
1915-12,4.52254437,128.0000,101.8431
1916-01,4.55542857,131.0000,101.9610
1916-02,4.56316602,134.0000,102.0699
1916-03,4.57090348,137.0000,102.1788
1916-04,4.57864094,140.0000,102.2878
1916-05,4.58637840,143.0000,102.3967
1916-06,4.59411586,146.0000,102.5056
1916-07,4.60185332,149.0000,102.6145
1916-08,4.60959077,152.0000,102.7234
1916-09,4.61732823,155.0000,102.8323
1916-10,4.62506569,158.0000,102.9413
1916-11,4.63280315,161.0000,103.0502
1916-12,4.64054061,164.0000,103.1591
1917-01,4.64827807,167.0000,103.2680
1917-02,4.67294121,166.3333,103.2630
1917-03,4.69760436,165.6667,103.2580
1917-04,4.72226751,165.0000,103.2530
1917-05,4.74693066,164.3333,103.2480
1917-06,4.77159381,163.6667,103.2430
1917-07,4.79625695,163.0000,103.2380
1917-08,4.82092010,162.3333,103.2330
1917-09,4.84558325,161.6667,103.2280
1917-10,4.87024640,161.0000,103.2230
1917-11,4.89490955,160.3333,103.2180
1917-12,4.91957270,159.6667,103.2130
1918-01,4.94423584,159.0000,103.2080
1918-02,4.98534109,159.0000,103.3168
1918-03,5.02644634,159.0000,103.4257
1918-04,5.06755159,159.0000,103.5345
1918-05,5.10865683,159.0000,103.6433
1918-06,5.14976208,159.0000,103.7522
1918-07,5.19086733,159.0000,103.8610
1918-08,5.23197257,159.0000,103.9698
1918-09,5.27307782,159.0000,104.0787
1918-10,5.31418307,159.0000,104.1875
1918-11,5.35528832,159.0000,104.2963
1918-12,5.39639356,159.0000,104.4052
1919-01,5.43749881,159.0000,104.5140
1919-02,5.48102201,163.0000,104.6829
1919-03,5.52454522,167.0000,104.8518
1919-04,5.56806842,171.0000,105.0208
1919-05,5.61159162,175.0000,105.1897
1919-06,5.65511482,179.0000,105.3586
1919-07,5.69863803,183.0000,105.5275
1919-08,5.74216123,187.0000,105.6964
1919-09,5.78568443,191.0000,105.8653
1919-10,5.82920764,195.0000,106.0343
1919-11,5.87273084,199.0000,106.2032
1919-12,5.91625404,203.0000,106.3721
1920-01,5.95977724,207.0000,106.5410
1920-02,5.94865465,203.5833,106.7074
1920-03,5.93753205,200.1667,106.8738
1920-04,5.92640946,196.7500,107.0403
1920-05,5.91528686,193.3333,107.2067
1920-06,5.90416426,189.9167,107.3731
1920-07,5.89304167,186.5000,107.5395
1920-08,5.88191907,183.0833,107.7059
1920-09,5.87079647,179.6667,107.8723
1920-10,5.85967388,176.2500,108.0388
1920-11,5.84855128,172.8333,108.2052
1920-12,5.83742869,169.4167,108.3716
1921-01,5.82630609,166.0000,108.5380
1921-02,5.83307637,165.0833,108.6639
