,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
140,1882-09,16.022625272877384,0.06241174482765754,13.091638310360906,0.07638463393909882,14.044550729010435,0.07120199280810025
141,1882-10,15.70217409370288,0.06368544852658556,12.882539302663634,0.07762444782863863,13.795830305810798,0.07248566978812435
142,1882-11,15.139805266505558,0.06605104771144864,12.468403749980729,0.08020272843679334,13.310974136757562,0.07512598174453304
143,1882-12,15.329752229690307,0.06523262639974202,12.665756086023109,0.07895304419319413,13.462467079843732,0.07428059018225712
144,1883-01,15.218369873417336,0.06571006016529723,12.612653263326479,0.07928545874702486,13.39521360617097,0.07465353143299748
145,1883-02,14.70766495269818,0.0679917582577611,12.228335235532237,0.08177728045059399,12.930586315722362,0.07733601366429109
146,1883-03,15.001871204170412,0.06665835124101101,12.515206830599857,0.07990279453911908,13.218818611043512,0.07564972554843603
147,1883-04,15.43123680535898,0.06480361960699862,12.912271527880222,0.07744570719728101,13.605934405557795,0.07349734095377652
148,1883-05,15.286055607164563,0.06541909997575181,12.823177110379927,0.07798379382832776,13.465008427875599,0.07426657067141339
149,1883-06,15.851843546418557,0.0630841452018956,13.316718154163153,0.07509357699271978,13.998679304548334,0.07143531030638643
150,1883-07,15.89845730189673,0.0628991845567744,13.37560561362205,0.07476296990856064,14.027217906474208,0.07128997401105845
151,1883-08,15.150468738636539,0.06600455848932332,12.764818520921061,0.07834032253267348,13.379817106997233,0.07473943716891547
152,1883-09,15.445749173616248,0.06474273204618369,13.02967207423856,0.07674790234952547,13.65278443032521,0.07324513216357727
153,1883-10,15.004393853240444,0.06664714414864774,12.668435684293422,0.07893634422755288,13.27533187377478,0.07532768366985122
154,1883-11,15.369025162005,0.0650659355072292,12.987450067320301,0.0769974086380707,13.610684159661643,0.07347169240498044
155,1883-12,14.85878016246362,0.06730027559908375,12.571357275428245,0.07954590567198201,13.19753856114246,0.07577170510751922
156,1884-01,14.397956797273528,0.06945429925094408,12.20194235992095,0.08195416520607776,12.801781684870935,0.0781141269720131
157,1884-02,14.771086945576736,0.06769982491366042,12.538433181335966,0.07975478160130453,13.12250329621875,0.07620497228513938
