,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
511,1913-08,11.831552964319604,0.08451975856556602,10.256900786924069,0.09749533711731348,10.424318598960559,0.09592953155707588
512,1913-09,11.827751538720808,0.08454692311774346,10.251511127626598,0.09754659459961171,10.424540669236979,0.09592748800443739
513,1913-10,11.45762100055618,0.08727815311323857,9.928390243679445,0.10072126250643847,10.101651384384153,0.09899371518065558
514,1913-11,11.060124282851126,0.09041489719518918,9.580376559141666,0.10438003076672311,9.754624481089207,0.10251547888272368
515,1913-12,11.16012332540337,0.08960474457515515,9.661175504304454,0.10350707318736302,9.845529068346885,0.10156894495542891
516,1914-01,11.620910314138776,0.08605177847240876,10.054252365209635,0.09946040378499586,10.255459320723704,0.09750904067058717
517,1914-02,11.892273048514237,0.08408821391171599,10.283698366027096,0.09724128075397162,10.49905837998608,0.09524663677518534
518,1914-03,11.669913538323629,0.08569043778396743,10.08639217122585,0.09914347796755012,10.307436094464544,0.09701733688526434
519,1914-04,11.509085028613177,0.08688788009766735,9.941991910292822,0.10058346546879728,10.170255777356527,0.09832594399704685
520,1914-05,11.468929762381734,0.08719209383250523,9.901434966708765,0.10099546210849879,10.13956943083415,0.09862351718397702
521,1914-06,11.418700577520424,0.08757563903275152,9.852675192040667,0.10149527722255927,10.100497545460989,0.09900502381186013
522,1914-07,10.686311448415623,0.09357765818703162,9.214891828036924,0.10851999336090232,9.4568526070594,0.10574342665058721
523,1914-08,10.4843136460063,0.09538058796828551,9.03373012157926,0.11069624468980503,8.471653616396258,0.11804070908477349
524,1914-09,10.492202346884614,0.09530887481377291,9.033009391450037,0.1107050769754014,8.480139551790465,0.11792258769949884
525,1914-10,10.60462658477804,0.09429846416614115,9.1213028524594,0.10963346094032689,8.108824142145927,0.12332244262179289
526,1914-11,10.507869803537913,0.09516676726079232,9.028427037169743,0.11076126504462319,8.339626829635645,0.11990944204438578
527,1914-12,10.163468506901097,0.09839160708974401,8.723236100366353,0.11463635610619351,9.00715279896552,0.11102287507711105
528,1915-01,10.350182629550009,0.0966166526516138,8.875179586049677,0.1126737763787716,9.177621688689827,0.10896069089798768
529,1915-02,10.31802416951349,0.09691778033963952,8.839504878684638,0.11312850818278014,9.151861615381161,0.10926738646477573
530,1915-03,10.694154511443735,0.09350902859407048,9.154182841652892,0.10923967953205517,9.4859350978566,0.10541923275713277
531,1915-04,11.386639967793439,0.08782221997256888,9.740050977424415,0.10266886716689776,10.0983801848057,0.09902578252150057
532,1915-05,11.013987130845663,0.0907936415868337,9.41714344251797,0.10618931378755961,9.765481232238077,0.10240150753644094
533,1915-06,11.139658767818764,0.08976935657031873,9.52111810892806,0.10502968123694302,9.871481345904549,0.10130191862388284
534,1915-07,11.098356963811222,0.09010342731457754,9.483113764240889,0.10545059617135667,9.927849473034893,0.10072674880054412
535,1915-08,11.566218755164043,0.08645867946717882,9.880233811964024,0.10121217969448204,10.33589437099112,0.09675021474741609
536,1915-09,11.992669667946652,0.0833842695319746,10.243088349098198,0.09762680608803302,10.705467555408813,0.09341021256888137
537,1915-10,12.528802302175762,0.07981608903081974,10.699972362158494,0.09345818532546854,11.170836177701801,0.08951881346144062
538,1915-11,12.836017008891751,0.07790578645286003,10.963352492124603,0.09121297529367393,11.430972682573985,0.08748161926101494
539,1915-12,12.853700137122905,0.07779860968686282,10.979930127945636,0.09107526080287559,11.431955816441658,0.08747409595143649
540,1916-01,12.515396431027625,0.07990158406175961,10.692060325634174,0.09352734361239094,11.113786507333792,0.08997833450733624
541,1916-02,12.321375227398855,0.08115977166057854,10.528820513197342,0.0949774002459773,10.920135908050826,0.09157395186471572
542,1916-03,12.139484104825362,0.08237582349998768,10.376947457866924,0.09636745334408382,10.73304755132175,0.09317018258032896
543,1916-04,11.864815038335928,0.08428281408255756,10.147049977532424,0.09855081055224896,10.462024741864685,0.09558379230345486
544,1916-05,11.979112749635684,0.08347863659855882,10.251775824316748,0.09754407598613747,10.529732971301476,0.09496916994243586
545,1916-06,11.944945015250507,0.08371742178162117,10.229867304292794,0.09775297863153773,10.465513315298159,0.0955519304092071
546,1916-07,11.739013518655916,0.08518603359735266,10.061157483947605,0.0993921426630566,10.685175917705772,0.09358760283421813
547,1916-08,11.67412548125971,0.0856595212725171,10.011567030206916,0.099884463339535,10.58480223934322,0.09447507637724645
548,1916-09,11.88205853934217,0.08416050103514836,10.195656945457696,0.09808097755245812,10.729121670627233,0.09320427437575504
549,1916-10,11.979107969709169,0.08347866990836365,10.286753531421287,0.09721240009741279,10.771474284254905,0.09283780229246241
550,1916-11,11.982534255797397,0.08345480001579628,10.296795149737939,0.09711759683064597,10.729051221158064,0.0932048863769021
551,1916-12,11.34234618188222,0.08816518063937753,9.754413736551319,0.10251769373415473,10.111495408494584,0.09889734006701999
552,1917-01,10.927315820067571,0.09151378220107272,9.404232883188142,0.10633509531518413,9.677254021135386,0.103335098760038
553,1917-02,10.005840726612979,0.09994162682804411,8.617130140409786,0.11604791661559438,8.816186535340973,0.11342772705538315
554,1917-03,10.27084599037821,0.09736296318110563,8.854493096355233,0.11293701278186428,8.992672980508182,0.11120164184414602
555,1917-04,9.599229661290162,0.10417502604741279,8.28177502675365,0.12074706168298166,8.355858686508434,0.11967650932328758
556,1917-05,9.096913054253505,0.10992739999118967,7.854501788593256,0.12731552260287923,7.873564752096173,0.12700727453010033
557,1917-06,9.10748095046506,0.10979984536217301,7.869576192783936,0.12707164598227758,7.8376589551884654,0.12758911885774366
558,1917-07,8.962715672955126,0.11157332626510585,7.7477533462049655,0.1290696741772018,8.195845922370054,0.12201303068308811
559,1917-08,8.536083656852668,0.11714974222367323,7.383135236997769,0.13544381457201013,7.766026022612398,0.1287659862442248
560,1917-09,7.920188964904004,0.12625961380861073,6.8538799314841095,0.14590276018790196,7.169403242732155,0.13948162296683908
561,1917-10,7.360267095289146,0.1358646346733855,6.375132421278858,0.15685948681822032,6.628302435698924,0.1508681913206265
562,1917-11,6.731390707908337,0.14855771168135518,5.835723001045894,0.17135837321627112,6.030410932604943,0.16582617854336373
563,1917-12,6.39459243818536,0.15638213219477318,5.545569160303291,0.18032414186775902,5.696854286542979,0.17553547092861135
564,1918-01,6.624245533098348,0.15096058788936098,5.744483793014504,0.17408004548921097,6.0204624370640545,0.16610019752696292
565,1918-02,6.769739693667939,0.14771616712757032,5.8712002183806415,0.17032292594440152,5.917230404784257,0.16899798243304337
566,1918-03,6.672099289351627,0.1498778655161735,5.7853805213571325,0.1728494774558788,5.780194503394743,0.17300455882802804
567,1918-04,6.507684454762525,0.15366448802971217,5.639830560473444,0.17731029137798307,5.681572180111505,0.17600762047880456
568,1918-05,6.571265784374363,0.15217768278036678,5.690665357983019,0.17572637593197657,5.649940551320741,0.1769930127435125
569,1918-06,6.48646029194132,0.15416728924439496,5.612280633377624,0.17818068363380693,5.6290352175601335,0.17765033639875558
570,1918-07,6.362897526047323,0.15716110402632982,5.499157824739158,0.1818460265863406,5.306662071296023,0.18844237423917487
571,1918-08,6.296366689113575,0.15882175377888982,5.43463738497157,0.18400491682578585,5.30103535830006,0.1886423938739169
572,1918-09,6.144138566829669,0.16275674598204784,5.295851344918063,0.18882705251151116,5.162171457994383,0.1937169286485734
573,1918-10,6.285927909730184,0.15908550246846911,5.409740232080713,0.18485175943750937,5.372939032849287,0.18611787587503978
574,1918-11,6.32994123391703,0.15797934973579372,5.438146697983706,0.18388617584935113,5.1131536861601035,0.19557401583815565
575,1918-12,6.131806711518225,0.16308407082068666,5.257963433723927,0.19018770529785803,5.026929784846507,0.19892857923229063
576,1919-01,6.097607872056483,0.16399873868286965,5.219121323719224,0.19160313354957323,4.9367107037106255,0.20256402694376252
577,1919-02,6.238919823139546,0.16028415628793583,5.331015785186279,0.18758151172217125,5.130449290008056,0.19491470307436362
578,1919-03,6.3572915067930555,0.15729969263348306,5.423235145498939,0.18439178334908798,5.222015684830238,0.19149693535102988
579,1919-04,6.458462175112764,0.15483562075402882,5.499925564299104,0.18182064253581173,5.292726230758891,0.18893854629934567
580,1919-05,6.833020479318446,0.14634816374789267,5.808742656925662,0.17215429552688438,5.646151920911335,0.17711177701335953
581,1919-06,7.026644716342137,0.14231543508586134,5.962743432856091,0.16770803762740644,5.720914391682743,0.17479723196939173
582,1919-07,7.060752894387129,0.14162795596414932,5.981145667873918,0.16719204907033539,5.423995024152994,0.18436595084379878
583,1919-08,6.487857597995854,0.15413408585122262,5.485794652716289,0.1822889960900834,5.313160559312411,0.1882118917425323
584,1919-09,6.568507430025007,0.1522415877051376,5.54434556231939,0.18036393813477702,5.382197940353003,0.18579770032285597
585,1919-10,6.806031098469683,0.1469285087787576,5.7349555454843735,0.17436926791653798,5.533959823375673,0.1807024322395618
586,1919-11,6.4795399272563685,0.15433194504959705,5.451035907225752,0.18345136906444257,4.959188230771909,0.2016459052300073
587,1919-12,6.174100920748379,0.16196690219938734,5.185514054353795,0.19284491171331275,4.944214784147141,0.20225658545545902
588,1920-01,6.004209054443777,0.1665498304493395,5.034431073920398,0.19863217617185147,4.453792086118698,0.22452776884595438
589,1920-02,5.4693623581590565,0.18283666989228192,4.578709859688034,0.21840213305591155,4.325934510441011,0.23116392483205994
590,1920-03,5.813104435136759,0.1720251220596683,4.857793583559473,0.2058547739418902,4.70032135100308,0.21275141108949783
591,1920-04,5.614171983067451,0.17812065661971824,4.683349347215703,0.2135224015681234,4.254119316230098,0.23506627944939185
592,1920-05,5.20362209981445,0.1921738321535028,4.333042231641067,0.23078473426769874,4.03037805536148,0.2481156820188947
593,1920-06,5.058999047527471,0.197667560441376,4.2054939343243944,0.23778419743711943,3.9227963572449998,0.2549201918557672
594,1920-07,5.096133711045285,0.19622719039585143,4.229532214477951,0.2364327659160363,3.8363769955960323,0.2606625994129226
595,1920-08,5.036208355621381,0.1985620787280985,4.172286003758816,0.23967676211532457,4.008584656511672,0.24946460800711004
596,1920-09,5.3140535228208226,0.1881802649720353,4.394061023124159,0.22757990722873578,4.143818351556053,0.24132331949939073
597,1920-10,5.370120951054702,0.1862155450714007,4.430456048580489,0.22571039844090052,4.17936444951422,0.23927082983065354
598,1920-11,5.145478490358643,0.19434538534632945,4.234740765535174,0.2361419636683765,3.8074116355782515,0.26264562272582453
599,1920-12,4.8018113630770225,0.20825474480096934,3.9424315819945206,0.2536505654447119,3.7857404662995298,0.2641491166396507
600,1921-01,5.141167956349794,0.1945083312761475,4.209911571442991,0.23753468048670667,3.9015840335663703,0.25630615447385796
601,1921-02,5.295887208192749,0.18882577379159396,4.323928493909794,0.2312711695876768,3.9947198875893313,0.25033044322000353
602,1921-03,5.213550203842475,0.19180787772274313,4.243776982972679,0.23563914975087133,3.9896105857415254,0.25065102934454336
603,1921-04,5.320508526472094,0.18795195891981342,4.316331426709501,0.23167822420029893,4.245360313137857,0.23555126685133443
604,1921-05,5.634370471347643,0.1774821171389565,4.554631915988696,0.21955671027763507,4.198817589389331,0.2381622870512549
605,1921-06,5.239758768796466,0.19084848065051147,4.21956150487466,0.23699145014114553,4.024654797446417,0.24846851477410806
606,1921-07,5.221943569143903,0.19149957994738387,4.188581305571811,0.23874432105920013,4.214557197858094,0.23727285051635227
607,1921-08,5.184926728763129,0.1928667563328424,4.142503181559035,0.2413999352979734,4.106912756217321,0.24349190239946847
608,1921-09,5.402625762146825,0.18509518223646737,4.2993828276078325,0.23259152303876085,4.331032577431222,0.23089182132015035
609,1921-10,5.505310146505024,0.1816428091040134,4.362478638510887,0.2292274834705771,4.479809940596292,0.22322375575310535
610,1921-11,5.867307545011169,0.17043592692704101,4.628111635787714,0.21607084675039348,4.773178681614105,0.20950399444544543
611,1921-12,6.146117304829745,0.1627043465659498,4.824834353638048,0.2072610014571743,4.8423571071664435,0.20651099823266866
612,1922-01,6.318790232193938,0.1582581417096341,4.937132377411575,0.20254672622820719,5.050034394672737,0.19801845331091136
613,1922-02,6.492738366025142,0.15401821906651084,5.049903165508803,0.19802359911177525,5.337278362117174,0.18736141009578583
614,1922-03,6.85278376327007,0.14592609872791484,5.305961820906973,0.188467243782215,5.756595853315727,0.17371377555087744
615,1922-04,7.304699379355059,0.13689817308926563,5.630834167019091,0.17759358033614234,6.098923044683553,0.16396337397168875
616,1922-05,7.625672051431819,0.1311359829344139,5.852743756328084,0.17086003447849282,6.313049429194451,0.15840205454047912
617,1922-06,7.590318071536305,0.1317467845978682,5.800565290520567,0.17239699062334937,6.134336923235281,0.1630168040187455
618,1922-07,7.633720697979065,0.13099771914169428,5.808560229757809,0.17215970230917196,6.271973413584345,0.1594394513589805
619,1922-08,8.05085134254755,0.12421046637827593,6.099902830242259,0.16393703765938264,6.707835826058176,0.14907937909202598
620,1922-09,8.29489845901834,0.12055602668804039,6.258570812831009,0.15978088766685358,6.867617153036149,0.14561091244841795
621,1922-10,8.461817484235283,0.11817792121645751,6.358271719440359,0.1572754427814887,6.590835391057348,0.15172583453636718
622,1922-11,8.025365501403606,0.12460491672623557,6.006197817011134,0.16649468273717805,6.483301454745548,0.15424240365501365
623,1922-12,7.991682844572129,0.1251300908017377,5.957949000258741,0.16784299428487423,6.685689130510221,0.14957321234642637
624,1923-01,8.178637020495179,0.12226976175786496,6.073715801861653,0.1646438576683964,6.6287988899502395,0.1508568922668744
625,1923-02,8.556856596709583,0.11686534519984076,6.33082142461682,0.15795738545263519,7.084031355628381,0.14116255981920284
626,1923-03,8.722359742060435,0.11464787392084512,6.428954121189575,0.155546295890344,6.899637197863059,0.14493515692531167
627,1923-04,8.391923329611743,0.1191621944961532,6.162129886967912,0.16228155172692277,6.589264126272103,0.15176201482239765
628,1923-05,8.017397425542164,0.1247287550962807,5.864755369250364,0.17051009582481877,6.487399822280937,0.15414496214115028
629,1923-06,7.685844415473645,0.13010932123303648,5.602116618778688,0.1785039598511623,5.910987660328984,0.16917646550193333
630,1923-07,7.3574458088150045,0.1359167333318165,5.342828722403387,0.18716677100406204,5.865110903213511,0.17049975976619594
631,1923-08,7.451036876906045,0.1342095088939136,5.389717941024142,0.18553846619476014,6.149777250456643,0.16260751556907957
632,1923-09,7.465277429026271,0.1339534946299289,5.379004413210071,0.18590800883972916,6.036538869786117,0.16565784161602382
633,1923-10,7.322690157123805,0.13656183431811056,5.255662531038511,0.19027096852095668,5.877132848183034,0.17015099468257872
634,1923-11,7.549366080437498,0.1324614529677237,5.397880999489223,0.18525788176779473,6.151922904640096,0.16255080167629354
635,1923-12,7.811497990446786,0.1280164190303791,5.56344054269486,0.17974488849585382,6.365952113840512,0.15708569309308085
636,1924-01,8.073004713413523,0.12386961676592013,5.726053943565059,0.17464033867927498,6.5928648882839465,0.15167912841306377
637,1924-02,8.162341053167685,0.12251387114140674,5.764741492654697,0.17346831618975062,6.384591636034108,0.15662708862319127
638,1924-03,8.05684618116281,0.12411804538828547,5.665898039283756,0.1764945279753769,6.276116824560693,0.15933419149985256
639,1924-04,7.921838071393993,0.12623333006654497,5.5468083429525095,0.18028385662009555,6.2915594436833855,0.15894310606951068
640,1924-05,7.896083865050575,0.12664505811876847,5.504483940401218,0.1816700731307994,6.218089996801162,0.16082108823037952
641,1924-06,8.047490609024807,0.12426233823479786,5.585519345326746,0.17903438125886595,6.48220290908989,0.15426854327526773
642,1924-07,8.372846378742555,0.11943369730738823,5.786321545493597,0.1728213671047719,6.771962480928099,0.14766768168257036
643,1924-08,8.71010085164224,0.11480923321472858,5.993473294662263,0.1668481614643368,6.826344122895291,0.1464912963655083
644,1924-09,8.574536573792495,0.11662437863480973,5.874116830571382,0.1702383573298335,6.721121304711438,0.14878469747287704
645,1924-10,8.412776341052119,0.11886682344332215,5.737151108023887,0.1743025381711519,6.696849370961252,0.14932394990638143
646,1924-11,8.880238859726372,0.11260958357045962,6.0280491955096265,0.165891147793703,7.133781443202386,0.14017811001945912
647,1924-12,9.30236546087965,0.10749953914468524,6.285405819619027,0.15909871672544007,7.428336784241657,0.1346196368104072
648,1925-01,9.685587718091915,0.10324618692287292,6.515910556220028,0.1534704921701863,7.639075536088684,0.13090589237870193
649,1925-02,9.826096871831727,0.10176980881052372,6.583787701988979,0.1518882511503063,7.704546890266965,0.12979348613781358
650,1925-03,9.51699807409451,0.10507514998054096,6.351996119809102,0.15743082664698688,7.300219779756238,0.13698217727266715
651,1925-04,9.475409276102479,0.10553633841675387,6.300048373563643,0.15872893995484463,7.456982730248825,0.13410249643512745
652,1925-05,9.729562207002276,0.10277954739631648,6.446642251134032,0.15511951199464954,7.641743981451199,0.1308601809256237
653,1925-06,9.799705784059318,0.1020438798914401,6.471813031077599,0.15451620669478663,7.67741546762214,0.13025216678936896
654,1925-07,9.969986967487788,0.10030103381890151,6.564319170071835,0.15233872304064958,7.79676605808879,0.12825830511645858
655,1925-08,10.119250050463389,0.09882155248789481,6.642325012797401,0.15054969428225135,7.881399970505574,0.12688101146272016
656,1925-09,10.369786619912796,0.096433999719891,6.7861939577496395,0.1473580045347847,8.185021332343117,0.12217439141526722
657,1925-10,10.730102782704146,0.09319575219837598,7.000391238099599,0.1428491588523659,8.686525573616926,0.11512082610304415
658,1925-11,10.90100609396762,0.09173465195596746,7.089750525224759,0.1410486866134543,8.398424830452221,0.11906994706603263
659,1925-12,11.163964088633596,0.08957391765691304,7.239547663019478,0.1381301769871792,8.856703522731841,0.11290882634079084
660,1926-01,11.363955493926438,0.08799752872443564,7.349828021826852,0.13605760529774177,8.94938729199725,0.11173949314879057
661,1926-02,11.420733003884683,0.08756005412786175,7.3693357672232525,0.1356974402561111,8.36070987439562,0.11960706866081608
662,1926-03,10.746985542022513,0.09304934821860815,6.920330483627057,0.14450176944091314,7.99733029593875,0.1250417280511505
663,1926-04,10.436139953741591,0.09582086906006636,6.708998930544056,0.14905353397021728,8.227419537225716,0.12154479244377998
664,1926-05,10.621558802735564,0.09414813951248396,6.817294044335837,0.146685766155393,8.410178592596363,0.1189035392043064
665,1926-06,11.2532939701827,0.08886287007605514,7.213047918559099,0.13863764823009286,8.990797566086108,0.11122483769093713
666,1926-07,11.936186077393087,0.08377885477958334,7.643428420794964,0.13083134229128998,9.160393173561529,0.10916561997427929
667,1926-08,12.565193639550428,0.07958492552413854,8.040565670257456,0.12436935919807995,9.886435671895688,0.10114868828234166
668,1926-09,12.77711086658496,0.07826495445188839,8.170069851440443,0.12239797433600799,10.02266280450634,0.09977388439630884
669,1926-10,12.515031864476228,0.0799039116183546,7.996566428581036,0.12505367258950498,9.764165845043221,0.10241530263516059
670,1926-11,12.711896332670815,0.07866646909555912,8.11766289068425,0.12318816554301489,9.964599107817927,0.10035526659727133
671,1926-12,13.116324833456474,0.07624086874161955,8.379468871737325,0.11933930602366076,10.171474331183727,0.098314164440665
672,1927-01,13.289738415794664,0.07524602582181109,8.496984614486509,0.11768880907411554,10.444765199996308,0.0957417405611333
673,1927-02,13.732817574140936,0.07281826869112513,8.797756956087786,0.11366533594770764,10.790848120135115,0.09267112175678353
674,1927-03,14.13281647828969,0.07075730457097232,9.065576037846602,0.11030738651633831,11.121107932260841,0.08991909853685838
675,1927-04,14.577151718403512,0.06860050710301037,9.368940434271845,0.1067356556502347,11.372911811422254,0.08792822951424467
676,1927-05,15.08983978994153,0.06626975593647935,9.723482921728145,0.10284380690024095,11.99241179972337,0.08338606251188498
677,1927-06,15.204918852932956,0.06576819052257585,9.818414901942818,0.10184943394499708,11.796062842227776,0.08477404820362439
678,1927-07,15.908526771736607,0.06285937185438309,10.294438186796743,0.09713983238857679,12.848327299523026,0.07783114304981345
679,1927-08,16.949010432923547,0.05900049468714082,10.99664866968715,0.09093679629472508,13.5443170373291,0.07383170352878843
680,1927-09,17.902215888832547,0.05585900685198433,11.657631991671002,0.08578071436072672,14.013994206588412,0.07135724371356376
681,1927-10,17.614258003050924,0.05677218988314991,11.525661308420053,0.08676291739281386,13.654855154065539,0.07323402472726079
682,1927-11,18.207656930064438,0.05492194870767817,11.995513158807801,0.08336450360739607,14.38284692494406,0.06952726433218918
683,1927-12,18.718865040063125,0.05342204230116228,12.428290564655711,0.08046158840571829,14.760374701719861,0.06774895761172521
684,1928-01,18.86588328629224,0.053005734469193384,12.608888132078324,0.07930913412229393,14.798672780333522,0.06757362736805257
685,1928-02,18.914816900218444,0.05286860588052804,12.71642471323484,0.07863845558407881,14.808741455986173,0.06752768308989335
686,1928-03,19.984636123716307,0.05003843921947986,13.522413780677628,0.07395129421560184,16.517432830261733,0.060542095752791035
687,1928-04,21.286868760936688,0.046977317858749125,14.502219089690506,0.06895496432755528,17.149446805004633,0.05831091879349573
688,1928-05,21.848621550349254,0.045769477845343284,14.980606229687641,0.066752972788128,17.350272014230693,0.05763598398802047
689,1928-06,20.914126083679644,0.04781457260030343,14.436423296285263,0.06926923514755327,16.812785929178872,0.059478542355344166
690,1928-07,21.065562593227412,0.04747084230836068,14.639429394644548,0.06830867331248743,16.879193500576072,0.059244536770425134
691,1928-08,21.731361053636192,0.046016445888126985,15.20586153289661,0.06576411325570627,18.167007230838312,0.05504483965319891
692,1928-09,22.960105353626435,0.04355380711883602,16.1785229603553,0.061810339698528255,18.404579524034173,0.05433430297574145
693,1928-10,23.515209913874163,0.042525667585471646,16.674300587636086,0.05997253046652495,18.79989085619269,0.05319179816783882
694,1928-11,25.037829201570666,0.03993956472621309,17.85557495181398,0.05600491738287084,21.048691499025775,0.047508891469395347
695,1928-12,25.201347487546048,0.03968041790202599,18.08533971655221,0.05529340425299128,21.21827954811454,0.04712917452767089
696,1929-01,26.971363041740183,0.03707636126703815,19.48482377443129,0.051321993546189375,22.405555126813542,0.0446317886051064
697,1929-02,27.01822274828913,0.03701205698525536,19.642068516762752,0.050911134901427985,22.252511323275986,0.04493874805734876
698,1929-03,27.549764209887563,0.03629795131390278,20.149906281774314,0.04962802238462542,21.730881632727097,0.04601746109067117
699,1929-04,27.430148318548788,0.03645623743579181,20.174748764029594,0.049566912168093114,22.742570002950302,0.043970404394502206
700,1929-05,27.5537946999185,0.03629264175373121,20.3597458917457,0.04911652656752571,21.591641391121073,0.04631421863143858
701,1929-06,27.785080676627594,0.035990537930709894,20.61544252854638,0.04850732641878976,23.94308539845556,0.04176571161812356
702,1929-07,29.766212645956436,0.033595137275075675,22.172745632669802,0.045100413659487366,24.824649095844897,0.04028254321497653
703,1929-08,31.29543066405992,0.03195354653318169,23.43327115339179,0.04267436643625649,27.26807620230579,0.03667292083903741
704,1929-09,32.36734127282328,0.03089533958229785,24.359814839654398,0.04105121515013073,25.765242618089765,0.03881197684891585
705,1929-10,28.777929534678897,0.03474885150423863,21.753059472825935,0.04597054502835367,20.55509821050917,0.048649731067143806
706,1929-11,21.031222171739728,0.047548354148610986,15.979620709097652,0.06257970812978506,17.748996031897185,0.05634121491733244
707,1929-12,21.853402266608406,0.04575946517618364,16.70143378307452,0.059875098927938436,18.175925746292243,0.0550178303960112
708,1930-01,22.15834124406259,0.04512973191384322,17.036057246915345,0.05869902792097428,19.322351675756767,0.0517535348067737
709,1930-02,23.542600274242243,0.042476191599535904,18.239593403256773,0.05482578355181124,19.750811175097777,0.050630831874936874
710,1930-03,24.43328869075952,0.040927769186396595,19.044308934358877,0.052509125085439326,21.343603807654727,0.046852443898970676
711,1930-04,25.689557872462913,0.03892632193066731,20.149178574026685,0.04962981475031696,20.924976297337196,0.047789779342653535
712,1930-05,24.17242139383056,0.04136945917446344,19.104146221194622,0.052344657982704025,20.552410457223367,0.04865609326367551
713,1930-06,21.74952631727274,0.04597801282714988,17.327142775125708,0.05771291972243502,17.273555008875352,0.05789196256857308
714,1930-07,21.438431285496115,0.046645203964925205,17.205597498467256,0.058120620343994685,18.04622679078136,0.055413245749013566
715,1930-08,21.201869322979906,0.047165652460471386,17.14698562072019,0.05831928842301082,18.25510347066126,0.054779201969857506
716,1930-09,20.985815866689833,0.047651232925724395,17.080852330622925,0.05854508783541078,15.733733705325454,0.06355770465732023
717,1930-10,18.14570029825632,0.05510947406621134,14.85838906516592,0.06730204705329765,14.395122756370354,0.06946797307146717
718,1930-11,16.881912004700037,0.059234996588158575,13.917481886803543,0.07185207842434434,14.340906684264757,0.06973059807280023
719,1930-12,16.00573858896602,0.0624775916738623,13.308210072793965,0.07514158512152619,13.32576897007737,0.07504257369653272
720,1931-01,16.65410535530611,0.06004525482849748,13.93022344667121,0.07178635747145619,14.15003795319837,0.07067118853726943
721,1931-02,18.10683623386031,0.05522775967509835,15.21460572023941,0.06572631709211749,15.947448953609289,0.06270595396849828
722,1931-03,18.52202469186766,0.053989777933892036,15.615658807536565,0.06403828441214221,14.927133741140715,0.06699209756819538
723,1931-04,16.819353095015536,0.059455318783714274,14.208262700453021,0.07038158155452148,13.570992852892184,0.07368657627631753
724,1931-05,15.352845799218198,0.06513450425268534,12.975327021058757,0.07706934849326073,11.29618013176603,0.08852550050860965
725,1931-06,15.013625781546066,0.06660616259858733,12.68536403293446,0.07883100535418167,13.672765974762378,0.0731380908475894
726,1931-07,15.46503798797825,0.06466198148218906,13.042076293773405,0.07667490800352268,12.929073338637558,0.07734506362583432
727,1931-08,14.955575219894156,0.06686469662964105,12.572144405154784,0.07954092538023853,13.04535701730154,0.07665562534423087
728,1931-09,12.774032669684786,0.07828381419230206,10.691490083626798,0.09353233199284576,9.182534512125468,0.10890239494112519
729,1931-10,11.10737035018147,0.09003031036807575,9.246045360130491,0.10815434718848133,10.01391636007354,0.09986102979520553
730,1931-11,11.374658478986401,0.08791472744851239,9.40837015912235,0.10628833507686776,9.145875963014696,0.1093388981048871
731,1931-12,9.272035206372601,0.1078511866858214,7.616019524576618,0.1313021843986923,7.861816565548072,0.12719706592776334
732,1932-01,9.281829959694674,0.10773737553288415,7.57656877880549,0.13198586711142593,8.12262628483859,0.12311289045349347
733,1932-02,9.309491222549372,0.10741725579780433,7.559009021761648,0.13229247340770434,8.316637680248405,0.12024090004244739
734,1932-03,9.389390484852694,0.10650318586847958,7.58874684655406,0.1317740623346904,7.388189519632835,0.1353511570517612
735,1932-04,7.17698329308021,0.13933430790680038,5.77730421845216,0.17309111000353677,5.930628375306925,0.16861619658443824
736,1932-05,6.379521052730053,0.15675157926974156,5.117917771255825,0.19539196303941825,4.619530288311451,0.21647222500743118
737,1932-06,5.557358401581145,0.17994160673810172,4.4448129573156105,0.2249813455826356,4.620281479021073,0.21643702976552764
738,1932-07,5.833063581539267,0.1714364991948388,4.652818531287463,0.2149234906273669,6.38653530998088,0.1565794208382751
739,1932-08,8.829879577368192,0.11325182764248491,7.027424938059892,0.1422996344769321,8.855325833138906,0.1129263924154821
740,1932-09,9.759742727141905,0.10246171727652142,7.751910759370484,0.12900045305490693,8.623015085307545,0.11596871745056613
741,1932-10,8.480534153838747,0.11791710072264093,6.723952623267951,0.14872204728801072,7.484403481394319,0.1336111825726562
742,1932-11,8.468274106654164,0.11808781664427044,6.706564245784108,0.14910764489114106,7.130107695358145,0.1402503360013793
743,1932-12,8.264946450976785,0.12099291942560812,6.540243954312632,0.1528994953377237,7.583812081818598,0.13185980733850144
744,1933-01,8.737475668114518,0.1144495318767271,6.909758758404153,0.14472285284688513,7.78521941287534,0.12844853137294776
745,1933-02,7.834977588889655,0.1276327837131333,6.193202759172934,0.16146734393910658,6.473027307431441,0.15448722097185305
746,1933-03,7.884341820556573,0.1268336689047061,6.230242589302122,0.16050739367951555,6.756396093238189,0.14800790039541958
747,1933-04,8.735169367375512,0.11447974938354867,6.904386192855532,0.14483546720413357,9.801607967997898,0.10202407638266955
748,1933-05,11.267313236868196,0.08875230314249742,8.913513882242274,0.11218920093816481,11.251250062379757,0.0888790129501832
749,1933-06,13.121424958340835,0.076211234921123,10.39760904767845,0.09617595693533768,12.68357486771243,0.07884212538104068
750,1933-07,13.78084202556932,0.07256450644630966,10.946118444682924,0.09135658498979152,11.25106774698547,0.0888804531701387
