,apr,15y_10d,15y_12d,15y_15d,15y_18d,15y_20d,30y_10d,30y_12d,30y_15d,30y_18d,30y_20d
127,0.012700000000000001,0.00549399918519447,0.00537191031441237,0.005188777008239221,0.005005643702066073,0.004883554831283973,0.003007725768356402,0.002940887417948482,0.002840629892336602,0.0027403723667247222,0.002673534016316802
128,0.0128,0.005498008592815768,0.00537583062408653,0.00519256367099267,0.005009296717898812,0.004887118749169572,0.0030119616106231146,0.0029450291303870454,0.0028446304100329415,0.002744231689678838,0.002677299209442769
129,0.0129,0.005502019865505999,0.005379752757383643,0.0051963520952001095,0.0050129514330165765,0.004890684324894221,0.0030162011422008544,0.0029491744501519467,0.0028486344120785844,0.002748094374005223,0.0026810676819563153
130,0.013000000000000001,0.005506033003132211,0.005383676714173718,0.005200142280735977,0.005016607847298237,0.004894251558339744,0.0030204443621930717,0.002953323376366559,0.0028526418976267897,0.002751960418887021,0.002684839433060508
131,0.0131,0.0055100480055637335,0.005387602494328984,0.00520393422747686,0.0050202659606247355,0.004897820449389986,0.0030246912696984133,0.0029574759081495597,0.0028566528658262795,0.0027558298235029993,0.0026886144619541457
132,0.0132,0.005514064872668035,0.005391530097719857,0.005207727935297589,0.005023925772875321,0.004901390997927143,0.0030289418638086763,0.0029616320446129284,0.0028606673158193055,0.0027597025870256834,0.002692392767829935
133,0.013300000000000001,0.0055180836043127604,0.005395459524216921,0.005211523404073162,0.005027587283929404,0.004904963203833565,0.0030331961436098225,0.0029657917848629374,0.0028646852467426095,0.002763578708622283,0.0026961743498753973
134,0.0134,0.005522104200361721,0.005399390773687015,0.005215320633674958,0.0050312504936629015,0.0049085370669881955,0.003037454108179998,0.0029699551279982203,0.0028687066577255537,0.0027674581874528874,0.002699959207271109
135,0.0135,0.00552612666068092,0.005403323845999122,0.005219119623976424,0.005034915401953727,0.004912112587271929,0.0030417157565925256,0.0029741220731126917,0.0028727315478929405,0.0027713410226731902,0.002703747339193356
136,0.013600000000000001,0.005530150985134522,0.005407258741020421,0.005222920374849271,0.0050385820086781205,0.00491568976456402,0.0030459810879139154,0.0029782926192936064,0.0028767599163631425,0.002775227213432679,0.0027075387448123696
137,0.0137,0.0055341771735868475,0.005411195458618252,0.005226722886165356,0.005042250313712461,0.0049192685987438645,0.003050250101204849,0.0029824667656225194,0.002880791762249024,0.0027791167588755296,0.0027113334232931993
