,date,cpi
290,1895-03,6.565
291,1895-04,6.85
292,1895-05,6.946
293,1895-06,7.041
294,1895-07,6.946
295,1895-08,6.85
296,1895-09,6.85
297,1895-10,6.85
298,1895-11,6.85
299,1895-12,6.755
300,1896-01,6.66
301,1896-02,6.565
302,1896-03,6.565
303,1896-04,6.47
304,1896-05,6.375
305,1896-06,6.28
306,1896-07,6.28
307,1896-08,6.28
308,1896-09,6.28
309,1896-10,6.47
310,1896-11,6.66
311,1896-12,6.66
312,1897-01,6.47
313,1897-02,6.47
314,1897-03,6.47
315,1897-04,6.375
316,1897-05,6.28
317,1897-06,6.28
318,1897-07,6.28
319,1897-08,6.565
320,1897-09,6.755
321,1897-10,6.66
322,1897-11,6.66
323,1897-12,6.66
324,1898-01,6.66
325,1898-02,6.755
326,1898-03,6.755
327,1898-04,6.755
328,1898-05,7.231
329,1898-06,6.755
330,1898-07,6.66
331,1898-08,6.66
332,1898-09,6.66
333,1898-10,6.66
334,1898-11,6.66
335,1898-12,6.755
336,1899-01,6.755
337,1899-02,6.946
338,1899-03,6.946
339,1899-04,7.041
340,1899-05,7.041
341,1899-06,7.136
342,1899-07,7.231
343,1899-08,7.326
344,1899-09,7.612
345,1899-10,7.707
346,1899-11,7.802
347,1899-12,7.897
348,1900-01,7.897
349,1900-02,7.992
350,1900-03,7.992
351,1900-04,7.992
352,1900-05,7.802
353,1900-06,7.707
354,1900-07,7.802
355,1900-08,7.707
356,1900-09,7.802
357,1900-10,7.707
358,1900-11,7.707
359,1900-12,7.612
360,1901-01,7.707
361,1901-02,7.612
362,1901-03,7.612
363,1901-04,7.517
364,1901-05,7.517
365,1901-06,7.517
366,1901-07,7.612
367,1901-08,7.707
368,1901-09,7.802
369,1901-10,7.802
370,1901-11,7.897
371,1901-12,7.992
372,1902-01,7.897
373,1902-02,7.897
374,1902-03,7.897
375,1902-04,7.992
376,1902-05,8.087
377,1902-06,8.183
378,1902-07,8.183
379,1902-08,8.087
380,1902-09,8.183
381,1902-10,8.753
382,1902-11,8.468
383,1902-12,8.563
384,1903-01,8.658
385,1903-02,8.658
386,1903-03,8.373
387,1903-04,8.373
388,1903-05,8.183
389,1903-06,8.183
390,1903-07,8.183
391,1903-08,8.183
392,1903-09,8.278
393,1903-10,8.183
394,1903-11,8.087
395,1903-12,8.087
396,1904-01,8.278
397,1904-02,8.468
398,1904-03,8.373
399,1904-04,8.278
400,1904-05,8.087
401,1904-06,8.087
402,1904-07,8.087
403,1904-08,8.183
404,1904-09,8.278
405,1904-10,8.278
406,1904-11,8.468
407,1904-12,8.468
408,1905-01,8.468
409,1905-02,8.468
410,1905-03,8.373
411,1905-04,8.373
412,1905-05,8.278
413,1905-06,8.278
414,1905-07,8.278
415,1905-08,8.373
416,1905-09,8.278
417,1905-10,8.278
418,1905-11,8.373
419,1905-12,8.468
420,1906-01,8.468
421,1906-02,8.468
422,1906-03,8.468
423,1906-04,8.468
424,1906-05,8.563
425,1906-06,8.563
426,1906-07,8.278
427,1906-08,8.468
428,1906-09,8.563
429,1906-10,8.753
430,1906-11,8.849
431,1906-12,8.944
432,1907-01,8.849
433,1907-02,9.039
434,1907-03,8.944
435,1907-04,8.944
436,1907-05,9.134
437,1907-06,9.229
438,1907-07,9.229
439,1907-08,9.229
440,1907-09,9.229
441,1907-10,9.324
442,1907-11,8.944
443,1907-12,8.753
444,1908-01,8.658
445,1908-02,8.563
446,1908-03,8.563
447,1908-04,8.658
448,1908-05,8.658
449,1908-06,8.658
450,1908-07,8.753
451,1908-08,8.753
452,1908-09,8.753
453,1908-10,8.849
454,1908-11,8.944
455,1908-12,9.039
456,1909-01,8.944
457,1909-02,9.039
458,1909-03,9.039
459,1909-04,9.229
460,1909-05,9.324
461,1909-06,9.419
462,1909-07,9.419
463,1909-08,9.515
464,1909-09,9.61
465,1909-10,9.8
466,1909-11,9.895
467,1909-12,9.99
468,1910-01,9.895
469,1910-02,9.895
470,1910-03,10.085
471,1910-04,10.181
472,1910-05,9.99
473,1910-06,9.895
474,1910-07,9.895
475,1910-08,9.8
476,1910-09,9.705
477,1910-10,9.419
478,1910-11,9.229
479,1910-12,9.229
480,1911-01,9.229
481,1911-02,8.944
482,1911-03,9.039
483,1911-04,8.753
484,1911-05,8.753
485,1911-06,8.753
486,1911-07,8.849
487,1911-08,9.134
488,1911-09,9.229
489,1911-10,9.229
490,1911-11,9.134
491,1911-12,9.039
492,1912-01,9.134
493,1912-02,9.229
494,1912-03,9.419
495,1912-04,9.705
496,1912-05,9.705
497,1912-06,9.61
498,1912-07,9.61
499,1912-08,9.705
500,1912-09,9.8
501,1912-10,9.8
502,1912-11,9.8
503,1912-12,9.705
504,1913-01,9.8
505,1913-02,9.8
506,1913-03,9.8
507,1913-04,9.8
508,1913-05,9.7
509,1913-06,9.8
510,1913-07,9.9
511,1913-08,9.9
512,1913-09,10.0
513,1913-10,10.0
514,1913-11,10.1
515,1913-12,10.0
516,1914-01,10.0
517,1914-02,9.9
518,1914-03,9.9
519,1914-04,9.8
520,1914-05,9.9
521,1914-06,9.9
522,1914-07,10.0
523,1914-08,10.2
524,1914-09,10.2
525,1914-10,10.1
526,1914-11,10.2
527,1914-12,10.1
528,1915-01,10.1
529,1915-02,10.0
530,1915-03,9.9
531,1915-04,10.0
532,1915-05,10.1
533,1915-06,10.1
534,1915-07,10.1
535,1915-08,10.1
536,1915-09,10.1
537,1915-10,10.2
