date,median_income
1976-04,12173.47
1976-05,12243.44
1976-06,12313.42
1976-07,12383.39
1976-08,12453.37
1976-09,12523.34
1976-10,12593.31
1976-11,12663.29
1976-12,12733.26
1977-01,12803.24
1977-02,12911.86
1977-03,13020.49
1977-04,13129.11
1977-05,13237.74
1977-06,13346.37
1977-07,13454.99
1977-08,13563.62
1977-09,13672.25
1977-10,13780.87
1977-11,13889.50
1977-12,13998.12
1978-01,14106.75
1978-02,14236.70
1978-03,14366.65
1978-04,14496.60
1978-05,14626.56
1978-06,14756.51
1978-07,14886.46
1978-08,15016.41
1978-09,15146.36
1978-10,15276.31
1978-11,15406.27
1978-12,15536.22
1979-01,15666.17
1979-02,15761.47
1979-03,15856.77
1979-04,15952.06
1979-05,16047.36
1979-06,16142.66
1979-07,16237.96
1979-08,16333.25
1979-09,16428.55
1979-10,16523.85
1979-11,16619.15
1979-12,16714.45
1980-01,16809.74
1980-02,16901.04
1980-03,16992.34
1980-04,17083.64
1980-05,17174.94
1980-06,17266.24
1980-07,17357.54
1980-08,17448.84
1980-09,17540.14
1980-10,17631.44
1980-11,17722.74
1980-12,17814.04
1981-01,17905.34
1981-02,17974.64
1981-03,18043.95
1981-04,18113.26
1981-05,18182.57
1981-06,18251.87
1981-07,18321.18
1981-08,18390.49
1981-09,18459.80
1981-10,18529.10
1981-11,18598.41
1981-12,18667.72
1982-01,18737.03
1982-02,18813.66
1982-03,18890.30
1982-04,18966.94
1982-05,19043.58
1982-06,19120.22
1982-07,19196.86
1982-08,19273.49
1982-09,19350.13
1982-10,19426.77
1982-11,19503.41
1982-12,19580.05
1983-01,19656.68
1983-02,19779.97
1983-03,19903.26
1983-04,20026.55
1983-05,20149.83
1983-06,20273.12
1983-07,20396.41
1983-08,20519.70
1983-09,20642.98
1983-10,20766.27
1983-11,20889.56
1983-12,21012.85
1984-01,21136.13
1984-02,21223.43
1984-03,21310.74
1984-04,21398.04
1984-05,21485.34
1984-06,21572.64
1984-07,21659.94
1984-08,21747.24
1984-09,21834.54
1984-10,21921.84
1984-11,22009.14
1984-12,22096.44
1985-01,22183.74
1985-02,22298.37
1985-03,22412.99
1985-04,22527.62
1985-05,22642.24
1985-06,22756.86
1985-07,22871.49
1985-08,22986.11
1985-09,23100.74
1985-10,23215.36
1985-11,23329.98
1985-12,23444.61
1986-01,23559.23
1986-02,23659.86
1986-03,23760.49
1986-04,23861.12
1986-05,23961.75
1986-06,24062.38
1986-07,24163.01
1986-08,24263.64
1986-09,24364.27
1986-10,24464.90
1986-11,24565.52
1986-12,24666.15
1987-01,24766.78
1987-02,24848.09
1987-03,24929.39
1987-04,25010.69
1987-05,25092.00
