date,home_price_index,building_cost_index,population_millions
1900-07,3.447037666,7.644417081,76.839
1900-08,3.396744187,7.652061793,76.96316667
1900-09,3.346450708,7.659706505,77.08733333
1900-10,3.296157229,7.667351217,77.2115
1900-11,3.245863751,7.674995929,77.33566667
1900-12,3.195570272,7.682640641,77.45983333
1901-01,3.145276793,7.690285353,77.584
1901-02,3.192185134,7.696677369,77.71558333
1901-03,3.239093475,7.703069385,77.84716667
1901-04,3.286001815,7.709461401,77.97875
1901-05,3.332910156,7.715853417,78.11033333
1901-06,3.379818497,7.722245433,78.24191667
1901-07,3.426726838,7.728637449,78.3735
1901-08,3.473635179,7.735029465,78.50508333
1901-09,3.52054352,7.741421481,78.63666667
1901-10,3.56745186,7.747813498,78.76825
1901-11,3.614360201,7.754205514,78.89983333
1901-12,3.661268542,7.76059753,79.03141667
1902-01,3.708176883,7.766989546,79.163
1902-02,3.713012794,7.731426193,79.28541667
1902-03,3.717848706,7.69586284,79.40783333
1902-04,3.722684617,7.660299488,79.53025
1902-05,3.727520529,7.624736135,79.65266667
1902-06,3.73235644,7.589172782,79.77508333
1902-07,3.737192352,7.55360943,79.8975
1902-08,3.742028263,7.518046077,80.01991667
1902-09,3.746864174,7.482482724,80.14233333
1902-10,3.751700086,7.446919372,80.26475
1902-11,3.756535997,7.411356019,80.38716667
1902-12,3.761371909,7.375792666,80.50958333
1903-01,3.76620782,7.340229314,80.632
1903-02,3.780715554,7.360912951,80.75983333
1903-03,3.795223289,7.381596588,80.88766667
1903-04,3.809731023,7.402280226,81.0155
1903-05,3.824238757,7.422963863,81.14333333
1903-06,3.838746492,7.443647501,81.27116667
1903-07,3.853254226,7.464331138,81.399
1903-08,3.86776196,7.485014775,81.52683333
1903-09,3.882269694,7.505698413,81.65466667
1903-10,3.896777429,7.52638205,81.7825
1903-11,3.911285163,7.547065688,81.91033333
1903-12,3.925792897,7.567749325,82.03816667
1904-01,3.940300632,7.588432962,82.166
1904-02,3.899678976,7.603315445,82.304
1904-03,3.85905732,7.618197927,82.442
1904-04,3.818435664,7.633080409,82.58
1904-05,3.777814008,7.647962892,82.718
1904-06,3.737192352,7.662845374,82.856
1904-07,3.696570696,7.677727857,82.994
1904-08,3.65594904,7.692610339,83.132
1904-09,3.615327384,7.707492821,83.27
1904-10,3.574705728,7.722375304,83.408
1904-11,3.534084072,7.737257786,83.546
1904-12,3.493462416,7.752140268,83.684
1905-01,3.45284076,7.767022751,83.822
1905-02,3.506519376,7.831020691,83.95766667
1905-03,3.560197993,7.895018631,84.09333333
1905-04,3.61387661,7.959016571,84.229
1905-05,3.667555227,8.023014512,84.36466667
1905-06,3.721233844,8.087012452,84.50033333
1905-07,3.774912461,8.151010392,84.636
1905-08,3.828591078,8.215008332,84.77166667
1905-09,3.882269694,8.279006273,84.90733333
1905-10,3.935948311,8.343004213,85.043
1905-11,3.989626928,8.407002153,85.17866667
1905-12,4.043305545,8.471000094,85.31433333
1906-01,4.096984162,8.534998034,85.45
1906-02,4.132286315,8.535029387,85.57983333
1906-03,4.167588469,8.535060739,85.70966667
1906-04,4.202890622,8.535092092,85.8395
1906-05,4.238192776,8.535123445,85.96933333
1906-06,4.273494929,8.535154797,86.09916667
1906-07,4.308797082,8.53518615,86.229
1906-08,4.344099236,8.535217503,86.35883333
1906-09,4.379401389,8.535248856,86.48866667
1906-10,4.414703543,8.535280208,86.6185
1906-11,4.450005696,8.535311561,86.74833333
1906-12,4.48530785,8.535342914,86.87816667
1907-01,4.520610003,8.535374266,87.008
1907-02,4.483857076,8.528242983,87.14983333
1907-03,4.447104149,8.521111699,87.29166667
1907-04,4.410351222,8.513980415,87.4335
1907-05,4.373598296,8.506849131,87.57533333
1907-06,4.336845369,8.499717847,87.71716667
1907-07,4.300092442,8.492586564,87.859
1907-08,4.263339515,8.48545528,88.00083333
1907-09,4.226586588,8.478323996,88.14266667
1907-10,4.189833661,8.471192712,88.2845
1907-11,4.153080734,8.464061429,88.42633333
1907-12,4.116327808,8.456930145,88.56816667
1908-01,4.079574881,8.449798861,88.71
1908-02,4.071837422,8.385161993,88.85833333
1908-03,4.064099964,8.320525125,89.00666667
1908-04,4.056362506,8.255888257,89.155
1908-05,4.048625048,8.191251388,89.30333333
1908-06,4.040887589,8.12661452,89.45166667
1908-07,4.033150131,8.061977652,89.6
1908-08,4.025412673,7.997340784,89.74833333
1908-09,4.017675214,7.932703916,89.89666667
1908-10,4.009937756,7.868067048,90.045
1908-11,4.002200298,7.80343018,90.19333333
1908-12,3.99446284,7.738793311,90.34166667
1909-01,3.986725381,7.674156443,90.49
1909-02,4.013322894,7.644421993,90.64975
1909-03,4.039920407,7.614687542,90.8095
1909-04,4.06651792,7.584953091,90.96925
1909-05,4.093115433,7.555218641,91.129
1909-06,4.119712946,7.52548419,91.28875
1909-07,4.146310458,7.495749739,91.4485
1909-08,4.172907971,7.466015288,91.60825
1909-09,4.199505484,7.436280838,91.768
1909-10,4.226102997,7.406546387,91.92775
1909-11,4.25270051,7.376811936,92.0875
1909-12,4.279298023,7.347077486,92.24725
