year,max_oasdi_earnings,oasi_tax_rate,di_tax_rate,oasdi_tax_rate,max_hi_earnings,additional_earnings_floor,hi_tax_rate,additional_hi_tax_rate,fica_tax_rate,excess_tax_rate
2006,94200,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2007,97500,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2008,102000,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2009,106800,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2010,106800,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2011,106800,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2012,110100,0.053000,0.009000,0.062000,,,0.014500,0.000000,0.076500,0.000000
2013,113700,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2014,117000,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2015,118500,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2016,118500,0.050150,0.011850,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2017,127200,0.050150,0.011850,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2018,128400,0.050150,0.011850,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2019,132900,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2020,137700,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2021,142800,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2022,147000,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2023,160200,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
2024,168600,0.053000,0.009000,0.062000,,200000,0.014500,0.009000,0.076500,0.009000
